190615 213435.723|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin\logs directory.
190615 213435.723|INFO|AWT-EventQueue-0|info|
190615 213435.724|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_211 build 5102 Windows 10 10.0 (amd64) 
190615 213435.724|INFO|AWT-EventQueue-0|info|Login: 647 (aka team647)
190615 213435.724|INFO|AWT-EventQueue-0|startLog|Working directory is E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin
190615 213435.725|INFO|AWT-EventQueue-0|startLog|Process id is 8184@ChuDucAnh
190615 213435.726|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM647 @ site 0
190615 213435.726|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM647 @ site 0
190615 213435.726|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #5 TEAM647 @ site 0 -> SERVER0 @ site 0
190615 213435.726|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #5 TEAM647 @ site 0 -> SERVER0 @ site 0
190615 213435.727|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190615 213435.727|INFO|Thread-12|run|send(Serializable)
190615 213435.882|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190615 213435.988|INFO|Thread-13|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #9971 SERVER0 @ site 1 -> TEAM647 @ site 1
190615 213435.989|INFO|Thread-13|dumpPacket|Packet LOGIN_SUCCESS (Seq #9971, o#9971 ) recieveObject
190615 213435.989|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6958375385841430981)
190615 213435.989|INFO|Thread-13|dumpPacket|    To: TEAM647 @ site 1
190615 213435.989|INFO|Thread-13|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@314862df
190615 213435.989|INFO|Thread-13|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@3f8f8a86
190615 213435.990|INFO|Thread-13|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
190615 213435.990|INFO|Thread-13|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@3bb009af
190615 213435.990|INFO|Thread-13|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@7eb280bd
190615 213435.990|INFO|Thread-13|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@c1e4b2e
190615 213435.990|INFO|Thread-13|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@4f863b91
190615 213435.990|INFO|Thread-13|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@74c0aebf
190615 213435.990|INFO|Thread-13|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@1e9d7ff2
190615 213435.990|INFO|Thread-13|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@60a41034
190615 213435.990|INFO|Thread-13|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@1e00e502
190615 213435.990|INFO|Thread-13|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@6fc4052b
190615 213435.991|INFO|Thread-13|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default--3827471043662391569
190615 213435.991|INFO|Thread-13|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@1ad385ce
190615 213435.991|INFO|Thread-13|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@5a361310
190615 213435.991|INFO|Thread-13|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@4307d5a1
190615 213435.991|INFO|Thread-13|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@ca57db7
190615 213435.991|INFO|Thread-13|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@ade6418
190615 213435.991|INFO|Thread-13|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
190615 213435.991|INFO|Thread-13|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1560609276876,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2019,MONTH=5,WEEK_OF_YEAR=24,WEEK_OF_MONTH=3,DAY_OF_MONTH=15,DAY_OF_YEAR=166,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=3,AM_PM=1,HOUR=2,HOUR_OF_DAY=14,MINUTE=34,SECOND=36,MILLISECOND=876,ZONE_OFFSET=0,DST_OFFSET=0]
190615 213435.992|INFO|Thread-13|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@601a58c0
190615 213435.992|INFO|Thread-13|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@1d4d23bf
190615 213435.992|INFO|Thread-13|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default--6958375385841430981
190615 213435.992|INFO|Thread-13|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM647 @ site 1
190615 213435.992|INFO|Thread-13|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@3aa2bd64
190615 213435.992|INFO|Thread-13|info|handlePacket start Packet[LOGIN_SUCCESS] #9971 SERVER0 @ site 1 -> TEAM647 @ site 1
190615 213435.992|INFO|Thread-13|dumpPacket|Packet LOGIN_SUCCESS (Seq #9971, o#9971 ) handlePacket
