190323 000135.352|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin\logs directory.
190323 000135.353|INFO|AWT-EventQueue-0|info|
190323 000135.354|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_201 build 5102 Windows 10 10.0 (amd64) 
190323 000135.354|INFO|AWT-EventQueue-0|info|Login: 139 (aka team139)
190323 000135.354|INFO|AWT-EventQueue-0|startLog|Working directory is E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin
190323 000135.355|INFO|AWT-EventQueue-0|startLog|Process id is 13048@DESKTOP-1DUII36
190323 000135.356|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM139 @ site 0
190323 000135.356|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM139 @ site 0
190323 000135.357|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #4 TEAM139 @ site 0 -> SERVER0 @ site 0
190323 000135.358|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #4 TEAM139 @ site 0 -> SERVER0 @ site 0
190323 000135.358|INFO|Thread-10|run|send(Serializable)
190323 000135.359|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190323 000135.543|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190323 000135.545|INFO|Thread-11|info| receiveObject(S) start got Packet[LOGIN_FAILED] #12066 SERVER0 @ site 1 -> TEAM139 @ site 0
190323 000135.545|INFO|Thread-11|dumpPacket|Packet LOGIN_FAILED (Seq #12066, o#12066 ) recieveObject
190323 000135.545|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--3370230833862003074)
190323 000135.546|INFO|Thread-11|dumpPacket|    To: TEAM139 @ site 0
190323 000135.546|INFO|Thread-11|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
190323 000135.546|INFO|Thread-11|info|handlePacket start Packet[LOGIN_FAILED] #12066 SERVER0 @ site 1 -> TEAM139 @ site 0
190323 000135.546|INFO|Thread-11|dumpPacket|Packet LOGIN_FAILED (Seq #12066, o#12066 ) handlePacket
190323 000135.546|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--3370230833862003074)
190323 000135.546|INFO|Thread-11|dumpPacket|    To: TEAM139 @ site 0
190323 000135.547|INFO|Thread-11|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
190323 000136.213|INFO|Thread-11|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #12066 SERVER0 @ site 1 -> TEAM139 @ site 0
