190323 000207.082|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin\logs directory.
190323 000207.082|INFO|AWT-EventQueue-0|info|
190323 000207.083|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_201 build 5102 Windows 10 10.0 (amd64) 
190323 000207.083|INFO|AWT-EventQueue-0|info|Login: 139 (aka team139)
190323 000207.083|INFO|AWT-EventQueue-0|startLog|Working directory is E:\coding\algorithm\CTDLGT mr.Son\pc2Client\bin
190323 000207.085|INFO|AWT-EventQueue-0|startLog|Process id is 13048@DESKTOP-1DUII36
190323 000207.086|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM139 @ site 0
190323 000207.086|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM139 @ site 0
190323 000207.087|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #7 TEAM139 @ site 0 -> SERVER0 @ site 0
190323 000207.087|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #7 TEAM139 @ site 0 -> SERVER0 @ site 0
190323 000207.088|INFO|Thread-16|run|send(Serializable)
190323 000207.088|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190323 000207.266|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190323 000207.376|INFO|Thread-17|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #12073 SERVER0 @ site 1 -> TEAM139 @ site 1
190323 000207.376|INFO|Thread-17|dumpPacket|Packet LOGIN_SUCCESS (Seq #12073, o#12073 ) recieveObject
190323 000207.376|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--3370230833862003074)
190323 000207.376|INFO|Thread-17|dumpPacket|    To: TEAM139 @ site 1
190323 000207.376|INFO|Thread-17|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@5f5d9206
190323 000207.376|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@519a779d
190323 000207.376|INFO|Thread-17|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
190323 000207.377|INFO|Thread-17|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@55a5f976
190323 000207.377|INFO|Thread-17|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@10a77da6
190323 000207.377|INFO|Thread-17|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@23591016
190323 000207.377|INFO|Thread-17|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@21fdad7f
190323 000207.377|INFO|Thread-17|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@5be99e7f
190323 000207.377|INFO|Thread-17|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@708882e9
190323 000207.377|INFO|Thread-17|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@1bbae54e
190323 000207.377|INFO|Thread-17|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@57602513
190323 000207.378|INFO|Thread-17|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@40ed53e6
190323 000207.378|INFO|Thread-17|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default--8242708454917427051
190323 000207.378|INFO|Thread-17|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@74c61ed8
190323 000207.378|INFO|Thread-17|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@389a159b
190323 000207.378|INFO|Thread-17|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@6e84f726
190323 000207.378|INFO|Thread-17|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@445cfb73
190323 000207.378|INFO|Thread-17|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@281dfe
190323 000207.378|INFO|Thread-17|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
